timestamp,can_id,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7
204.36884999999998,101,0,0,0,0,0,0,0,0
204.56615,111,25,212,111,201,252,249,79,128
204.56685,101,0,0,0,0,0,0,0,0
204.76415,111,27,188,207,73,252,229,47,128
204.76485,101,0,0,0,0,0,0,0,0
204.96235,111,33,204,15,74,2,2,16,128
204.96314999999998,101,0,0,0,0,0,0,0,0
205.16015,111,35,204,143,201,255,9,80,128
205.1609,101,0,0,0,0,0,0,0,0
205.35809999999998,111,29,196,111,201,3,18,16,128
205.35889999999998,101,0,0,0,0,0,0,0,0
205.5561,111,29,212,175,201,0,246,15,128
205.55689999999998,101,0,0,0,0,0,0,0,0
205.7541,111,27,188,239,201,253,241,15,128
205.7551,101,0,0,0,0,0,0,0,0
205.95225,111,33,204,239,201,251,1,80,128
205.95319999999998,101,0,0,0,0,0,0,0,0
206.15009999999998,111,35,196,143,73,4,10,48,128
206.15109999999999,101,0,0,0,0,0,0,0,0
206.3481,111,29,172,143,73,0,2,48,128
206.3491,101,0,0,0,0,0,0,0,0
206.5461,111,25,196,175,73,252,253,47,128
206.5471,101,0,0,0,0,0,0,0,0
206.74415,111,29,180,239,201,254,241,239,127
206.74509999999998,101,0,0,0,0,0,0,0,0
206.94225,111,35,204,207,201,0,254,47,128
207.1404,101,0,0,0,0,0,0,0,0
207.1417,111,31,204,175,201,4,14,16,128
207.33839999999998,101,0,0,0,0,0,0,0,0
207.3396,111,31,188,239,73,254,241,79,128
207.5364,101,0,0,0,0,0,0,0,0
207.5376,111,33,220,175,201,253,229,47,128
207.7344,101,0,0,0,0,0,0,0,0
207.73559999999998,111,31,180,175,73,1,242,15,128
207.93255,101,0,0,0,0,0,0,0,0
207.9338,111,31,212,175,73,252,17,48,128
208.13035,101,0,0,0,0,0,0,0,0
208.13174999999998,111,27,188,111,73,3,26,16,128
208.3286,101,0,0,0,0,0,0,0,0
208.3296,111,25,204,143,201,253,241,79,128
208.5266,101,0,0,0,0,0,0,0,0
208.52759999999998,111,25,172,207,201,250,229,79,128
208.72459999999998,101,0,0,0,0,0,0,0,0
208.7256,111,31,204,239,201,0,246,15,128
208.92274999999998,101,0,0,0,0,0,0,0,0
208.92374999999998,111,35,188,175,201,252,13,80,128
209.1206,101,0,0,0,0,0,0,0,0
209.12175,111,29,172,175,201,3,14,16,128
209.3186,101,0,0,0,0,0,0,0,0
209.31959999999998,111,27,220,111,201,255,245,47,128
