"sample_index","file_name","timestamp","byte_4","byte_4_diff","driving_state"
"284","00000001-69B44F7F.MF4","59.20975","4","250.0","driving"
"285","00000001-69B44F7F.MF4","59.4079","1","3.0","idle"
"286","00000001-69B44F7F.MF4","59.60575","1","0.0","idle"
"287","00000001-69B44F7F.MF4","59.803749999999994","254","253.0","driving"
"288","00000001-69B44F7F.MF4","60.001749999999994","254","0.0","idle"
"289","00000001-69B44F7F.MF4","60.199749999999995","254","0.0","idle"
"290","00000001-69B44F7F.MF4","60.397949999999994","253","1.0","idle"
"291","00000001-69B44F7F.MF4","60.595749999999995","253","0.0","idle"
"292","00000001-69B44F7F.MF4","60.793749999999996","252","1.0","idle"
"293","00000001-69B44F7F.MF4","60.991749999999996","255","3.0","idle"
"294","00000001-69B44F7F.MF4","61.18975","1","254.0","driving"
"295","00000001-69B44F7F.MF4","61.388","3","2.0","idle"
"296","00000001-69B44F7F.MF4","61.58575","5","2.0","idle"
"297","00000001-69B44F7F.MF4","61.78375","3","2.0","idle"
"298","00000001-69B44F7F.MF4","61.98175","3","0.0","idle"
"299","00000001-69B44F7F.MF4","62.1798","253","250.0","driving"
"300","00000001-69B44F7F.MF4","62.377849999999995","252","1.0","idle"
"301","00000001-69B44F7F.MF4","62.575799999999994","248","4.0","idle"
"302","00000001-69B44F7F.MF4","62.77375","254","6.0","idle"
"303","00000001-69B44F7F.MF4","62.97175","253","1.0","idle"
"304","00000001-69B44F7F.MF4","63.16975","2","251.0","driving"
"305","00000001-69B44F7F.MF4","63.3679","6","4.0","idle"
"306","00000001-69B44F7F.MF4","63.565749999999994","255","249.0","driving"
"307","00000001-69B44F7F.MF4","63.763749999999995","6","249.0","driving"
"308","00000001-69B44F7F.MF4","63.9633","254","248.0","driving"
"309","00000001-69B44F7F.MF4","64.1614","0","254.0","driving"
"310","00000001-69B44F7F.MF4","64.3594","255","255.0","driving"
"311","00000001-69B44F7F.MF4","64.55725","254","1.0","idle"
"312","00000001-69B44F7F.MF4","64.75525","254","0.0","idle"
"313","00000001-69B44F7F.MF4","64.95325","254","0.0","idle"
"314","00000001-69B44F7F.MF4","65.1514","254","0.0","idle"
"315","00000001-69B44F7F.MF4","65.3494","0","254.0","driving"
"316","00000001-69B44F7F.MF4","65.54724999999999","254","254.0","driving"
"317","00000001-69B44F7F.MF4","65.74525","255","1.0","idle"
"318","00000001-69B44F7F.MF4","65.94324999999999","0","255.0","driving"
"319","00000001-69B44F7F.MF4","66.14139999999999","255","255.0","driving"
"320","00000001-69B44F7F.MF4","66.3395","255","0.0","idle"
"321","00000001-69B44F7F.MF4","66.53725","254","1.0","idle"
"322","00000001-69B44F7F.MF4","66.73525","253","1.0","idle"
"323","00000001-69B44F7F.MF4","66.93325","255","2.0","idle"
"324","00000001-69B44F7F.MF4","67.1314","255","0.0","idle"
"325","00000001-69B44F7F.MF4","67.32939999999999","2","253.0","driving"
"326","00000001-69B44F7F.MF4","67.52725","2","0.0","idle"
"327","00000001-69B44F7F.MF4","67.72525","2","0.0","idle"
"328","00000001-69B44F7F.MF4","67.92325","2","0.0","idle"
"329","00000001-69B44F7F.MF4","68.1214","0","2.0","idle"
"330","00000001-69B44F7F.MF4","68.31945","255","255.0","driving"
"331","00000001-69B44F7F.MF4","68.51724999999999","254","1.0","idle"
"332","00000001-69B44F7F.MF4","68.71525","254","0.0","idle"
"333","00000001-69B44F7F.MF4","68.91324999999999","255","1.0","idle"
"334","00000001-69B44F7F.MF4","69.1114","254","1.0","idle"
